Comment,Designator,Footprint,LCSC,Quantity
1uF,"C16,C20,C24,C6",C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,C125386,4
Conn_01x03_Socket,"J1,J2",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,C131339,2
4013,"U10,U9",SOIC-14_3.9x8.7mm_P1.27mm,C13527,2
100pf,C33,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14858,1
100k,"R32,R35,R54,R55",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504,4
MMBF4393,"Q1,Q2",SOT-23,C152291,2
330pF,"C19,C25,C4",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1664,3
47pf,C34,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1671,1
10k,"R1,R13,R14,R15,R16,R33,R34,R43,R47,R5,R56,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,12
12k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17444,1
1k,"R3,R44,R46",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,3
1M,"R12,R4,R45,R50,R51,R52,R53,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17514,8
2.7K,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17530,1
220k,R18,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17556,1
22k,"R23,R29,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17560,3
24k,R17,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17575,1
27K,"R22,R28",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17593,2
330k,"R10,R11,R24,R25,R30,R31",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17629,6
33K,"R40,R41,R48,R49",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17633,4
47k,"R20,R21,R26,R27",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713,4
68K,R42,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17801,1
1nF,C23,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1791,1
1N5819,D1,D_SOD-323_HandSoldering,C191023,1
1n4148,"D2,D3,D6,D7,D8,D9",D_SOD-323_HandSoldering,C2128,6
47nF,"C14,C21",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C21812,2
150K,R38,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22807,1
220K,R36,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22961,1
56K,R37,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23206,1
120K,R39,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25808,1
2.2nF,"C32,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28260,2
1uF,"C27,C28",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,2
10nF,"C12,C17,C22,C26,C31",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C342877,5
5.6K,R19,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4382,1
10uF,C7,CP_Elec_5x5.4,C4747971,1
220uF,C1,CP_Elec_6.3x7.7,C4747975,1
100nF,"C13,C2,C35,C36,C37,C38,C39,C40,C41,C42,C43",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,11
220pF,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C61747,1
TL072,"U1,U2,U3,U4,U5,U6,U7,U8",SOIC-8_3.9x4.9mm_P1.27mm,C6961,8
33nF,"C11,C15,C29,C30,C5,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C76628,6
4.7nf,C18,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C77063,1
100K,RV1,RTRIM3362P,C81266,1
