Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,CP_Elec_6.3x7.7,153.25,-75.5,270.0,top
C10,220pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.9,-90.6,90.0,top
C11,33nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.6,-76.7,90.0,top
C12,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.5,-59.25,90.0,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.0,-110.6,-90.0,top
C14,47nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,153.25,-52.8,0.0,top
C15,33nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.6,-72.0,90.0,top
C16,1uF,C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,159.7,-66.2,-90.0,top
C17,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.2,-62.8,90.0,top
C18,4.7nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.8,-63.1,-90.0,top
C19,330pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.7,-66.979722,90.0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.9,-95.9,90.0,top
C20,1uF,C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,146.9,-66.25,-90.0,top
C21,47nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,176.0,-71.7,-90.0,top
C22,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.6,-76.6,-90.0,top
C23,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.5,-91.5,90.0,top
C24,1uF,C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,177.4,-91.7,0.0,top
C25,330pF,C_0603_1608Metric,142.4,-91.8,90.0,top
C26,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.4,-99.4,90.0,top
C27,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,155.4,-106.1,-90.0,top
C28,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,164.3,-93.0375,-90.0,top
